speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,locationPrivate,exoticCategory,region
gybsee1,Gray-breasted Seedsnipe,Thinocorus orbignyianus,L824302,Sierra Baguales,2018-09-27 15:45,2.0,-50.7894427,-72.4143219,False,-1,Magallanes
bkfibi2,Andean Ibis,Theristicus branickii,L4313484,Valle del Río Lluta--Poconchile,2018-09-27 14:11,5.0,-18.4518884,-70.0663054,False,-1,Arica y Parinacota
comter,Common Tern,Sterna hirundo,L681726,Playa Las Machas (Arica),2018-09-27 13:52,20.0,-18.4382504,-70.3054619,False,-1,Arica y Parinacota
mallar3,Mallard,Anas platyrhynchos,L7284828,Parque El Trapiche,2018-09-27 11:30,4.0,-33.5964559,-70.8972208,False,1,Región Metropolitana de Santiago
bcbeag1,Black-chested Buzzard-Eagle,Geranoaetus melanoleucus,L7964488,"CL-Valparaíso-Santo Domingo (-33,6264,-71,6323)",2018-09-27 10:17,2.0,-33.626436,-71.632288,True,-1,Valparaíso
jamfla1,James's Flamingo,Phoenicoparrus jamesi,L668852,Río Lluta--Desembocadura,2018-09-28 18:40,1.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota
grhgul,Gray-hooded Gull,Chroicocephalus cirrocephalus,L668852,Río Lluta--Desembocadura,2018-09-28 18:40,1.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L3445957,Cerro Delicias,2018-09-28 16:43,2.0,-33.057571,-71.589644,False,-1,Valparaíso
stbear2,Straight-billed Earthcreeper,Ochetorhynchus ruficaudus,L5653337,"CL-Arica y Parinacota-Putre-1070000 - -18,1956x-69,5724",2018-09-28 16:35,8.0,-18.195607,-69.5724,True,-1,Arica y Parinacota
elctin1,Elegant Crested-Tinamou,Eudromia elegans,L8165137,Chile Chico Sector Chacra,2018-09-28 16:00,3.0,-46.5340286,-71.6893252,True,-1,Aisén del General Carlos Ibáñez del Campo
spetyr1,Spectacled Tyrant,Hymenops perspicillatus,L1030742,PN Torres del Paine--Laguna Los Juncos,2018-09-28 14:20,2.0,-51.0273604,-72.7756906,False,-1,Magallanes
rngtyr1,Rufous-naped Ground-Tyrant,Muscisaxicola rufivertex,L604963,MN Salar de Surire,2018-09-28 12:20,2.0,-18.7988649,-69.0871811,False,-1,Arica y Parinacota
bfgtyr1,Black-fronted Ground-Tyrant,Muscisaxicola frontalis,L604963,MN Salar de Surire,2018-09-28 12:20,1.0,-18.7988649,-69.0871811,False,-1,Arica y Parinacota
ongtyr1,Ochre-naped Ground-Tyrant,Muscisaxicola flavinucha,L4185513,RN Las Vicuñas--Pailcoaillo,2018-09-28 11:30,1.0,-18.8779453,-69.2200041,False,-1,Arica y Parinacota
mallar3,Mallard,Anas platyrhynchos,L1003469,Estero San Jerónimo--Desembocadura,2018-09-28 10:50,3.0,-33.3553642,-71.6547096,False,1,Valparaíso
hudgod,Hudsonian Godwit,Limosa haemastica,L7967377,Kampenaike Bañados,2018-09-28 09:19,9.0,-52.683482,-70.89854,True,-1,Magallanes
jamfla1,James's Flamingo,Phoenicoparrus jamesi,L668852,Río Lluta--Desembocadura,2018-09-29 18:30,1.0,-18.4165392,-70.3224081,False,-1,Arica y Parinacota
mallar3,Mallard,Anas platyrhynchos,L2790032,Estero Papudo--Desembocadura,2018-09-29 18:28,5.0,-32.5007408,-71.4379522,False,1,Valparaíso
gyhsif1,Gray-hooded Sierra Finch,Phrygilus gayi,L2790032,Estero Papudo--Desembocadura,2018-09-29 18:28,1.0,-32.5007408,-71.4379522,False,-1,Valparaíso
demwir1,Des Murs's Wiretail,Sylviorthorhynchus desmursii,L629586,SN Humedal Los Batros y Laguna Grande--Laguna Grande San Pedro,2018-09-29 17:00,6.0,-36.8502303,-73.1083488,False,-1,Bío-Bío
