REGION,COMUNA,NUMERO INCENDIOS ,PINO INSIGNE    0- 10 AÑOS,PINO INSIGNE    11- 17 AÑOS,PINO INSIGNE      18 O MAS,TOTAL PINO INSIGNE,EUCALIPTO,OTRAS SP.,TOTAL,ARBOLADO,MATORRAL,PASTIZAL,TOTAL,TOTAL  FORESTAL ,AGRICOLA,DESECHOS,TOTAL OTRAS SUPERFICIES,TOTAL SUPERFICIE AFECTADA
VIII,LOS ANGELES,165,"266,43","33,40","440,41","740,24","44,44","14,51","799,19","154,50","186,97","217,01","558,49","1.357,68","76,28","37,98","114,26","1.471,94"
VIII,LAJA,38,"27,56","25,83","0,00","53,39","0,00","0,00","53,39","0,00","31,59","14,33","45,92","99,31","0,00","3,40","3,40","102,71"
VIII,SAN ROSENDO,7,"11,37","0,00","0,00","11,37","0,60","0,00","11,97","0,00","1,61","78,43","80,04","92,01","0,00","2,21","2,21","94,22"
VIII,YUMBEL,45,"1.614,99","1,09","2.739,98","4.356,06","2.329,46","0,70","6.686,22","2.257,85","2.177,39","144,83","4.580,07","11.266,29","865,00","24,07","889,07","12.155,36"
VIII,CABRERO,33,"0,05","1,32","1,12","2,49","0,00","0,00","2,49","0,00","6,55","5,47","12,01","14,50","2,00","0,01","2,01","16,51"
VIII,TUCAPEL,31,"0,00","0,00","0,00","0,00","1,62","0,00","1,62","1,20","75,40","1,40","78,00","79,62","2,74","0,08","2,82","82,44"
VIII,QUILLECO,25,"0,93","1,14","0,00","2,07","0,00","6,30","8,37","0,50","3,05","2,26","5,81","14,18","5,30","3,00","8,30","22,48"
VIII,SANTA BARBARA,11,"1,40","0,01","0,24","1,65","2,03","0,25","3,93","0,00","24,20","32,00","56,20","60,13","0,00","1,01","1,01","61,14"
VIII,ALTO BIO BIO,,,,,,,,,,,,,,,,,
VIII,QUILACO,10,"0,06","0,00","0,00","0,06","1,26","0,00","1,32","0,00","6,96","11,40","18,36","19,68","0,00","2,76","2,76","22,44"
VIII,MULCHEN,86,"10,54","0,01","191,61","202,16","1.289,25","1,00","1.492,41","399,80","141,58","160,97","702,35","2.194,76","575,40","200,47","775,87","2.970,63"
VIII,NACIMIENTO,21,"0,00","0,53","0,03","0,56","1,45","0,00","2,01","0,25","4,94","0,30","5,49","7,50","0,93","2,02","2,95","10,45"
VIII,NEGRETE,21,"0,00","0,00","0,20","0,20","5,07","0,00","5,27","0,00","7,14","6,10","13,24","18,51","1,66","0,00","1,66","20,17"
VIII,ANTUCO,4,"6,30","0,00","0,00","6,30","3,20","6,40","15,90","2,00","0,01","0,01","2,02","17,92","0,00","21,92","21,92","39,84"
VIII,CONCEPCION,22,"627,30","0,00","4.747,20","5.374,50","6.180,64","24,50","11.579,64","3.722,00","2.553,51","719,70","6.995,21","18.574,85","384,00","0,00","384,00","18.958,85"
VIII,TALCAHUANO,27,"1,03","0,50","0,20","1,73","30,97","0,00","32,70","5,50","15,11","11,30","31,91","64,61","0,00","0,21","0,21","64,82"
VIII,HUALPEN,8,"0,03","0,00","0,70","0,73","0,30","0,00","1,03","0,20","0,50","1,87","2,57","3,60","0,00","0,30","0,30","3,90"
VIII,PENCO,56,"0,30","0,00","10,13","10,43","222,52","0,00","232,95","7,90","120,36","17,07","145,33","378,28","4,00","0,00","4,00","382,28"
VIII,TOME,155,"316,09","20,65","926,60","1.263,34","1.158,98","6,03","2.428,34","718,60","627,62","29,62","1.375,84","3.804,18","165,30","3,28","168,58","3.972,76"
VIII,FLORIDA,42,"2.745,48","0,90","7.106,40","9.852,78","7.165,20","23,50","17.041,48","4.728,20","3.386,87","854,00","8.969,07","26.010,55","4.523,70","3,00","4.526,70","30.537,25"
VIII,HUALQUI,58,"571,05","0,02","2.311,80","2.882,87","2.478,60","3,00","5.364,47","2.280,18","1.686,61","279,34","4.246,13","9.610,60","287,50","3,84","291,34","9.901,94"
VIII,SANTA JUANA,19,"253,96","56,66","4,05","314,67","17,07","0,00","331,74","3,16","195,41","0,17","198,74","530,48","0,00","27,93","27,93","558,41"
VIII,LOTA,42,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,60","5,57","0,15","6,32","6,32","0,00","0,00","0,00","6,32"
VIII,CORONEL,33,"0,00","0,00","0,00","0,00","0,55","0,00","0,55","0,00","15,06","58,94","74,00","74,55","0,00","0,31","0,31","74,86"
VIII,SAN PEDRO DE LA PAZ,25,"1,51","1,07","0,00","2,58","2,70","0,00","5,28","0,00","10,73","27,34","38,07","43,35","0,00","0,10","0,10","43,45"
VIII,CHIGUAYANTE,14,"0,00","0,00","0,00","0,00","1,25","0,00","1,25","0,80","6,14","3,60","10,54","11,79","0,00","0,20","0,20","11,99"
VIII,LEBU,77,"1.329,92","216,99","51,32","1.598,23","28,14","0,00","1.626,37","13,33","1.070,06","10,12","1.093,51","2.719,88","0,00","74,72","74,72","2.794,60"
VIII,CURANILAHUE,113,"1,70","1,30","0,00","3,00","4,23","0,00","7,23","0,00","15,14","0,12","15,26","22,49","0,00","2,12","2,12","24,60"
VIII,ARAUCO,52,"0,15","2,86","0,00","3,01","1,96","0,00","4,97","0,00","98,23","236,23","334,46","339,43","0,00","0,50","0,50","339,93"
VIII,LOS ALAMOS,103,"0,18","0,00","0,48","0,66","4,67","0,00","5,33","0,00","18,48","0,25","18,73","24,06","0,00","1,06","1,06","25,12"
VIII,CANETE,63,"21,63","4,11","3,20","28,94","18,62","1,16","48,72","2,40","13,05","12,71","28,16","76,88","0,00","37,57","37,57","114,45"
VIII,CONTULMO,28,"5,25","2,54","5,15","12,94","23,30","0,50","36,74","0,70","31,23","0,40","32,33","69,07","0,00","0,93","0,93","70,00"
VIII,TIRUA,48,"10,32","4,20","14,85","29,37","37,71","10,00","77,08","0,21","11,85","68,57","80,63","157,71","2,50","132,95","135,45","293,16"
IX,ANGOL,52,"1,50","0,00","5,00","6,50","146,31","0,00","152,81","1,90","322,46","60,29","384,65","537,46","0,00","21,53","21,53","558,99"
IX,PUREN,12,"0,00","0,00","8,00","8,00","54,06","0,30","62,36","30,82","2,62","11,70","45,14","107,50","0,02","24,15","24,17","131,67"
IX,LOS SAUCES,37,"0,55","7,33","4,91","12,79","52,60","0,00","65,39","1,09","21,85","19,45","42,39","107,78","0,00","27,85","27,85","135,63"
IX,RENAICO,6,"23,44","0,00","0,15","23,59","98,45","0,00","122,04","0,30","5,70","1,00","7,00","129,04","0,00","5,05","5,05","134,09"
IX,COLLIPULLI,137,"46,23","51,10","64,72","162,05","1.405,17","4,55","1.571,77","45,57","504,46","170,66","720,69","2.292,46","39,06","222,52","261,58","2.554,04"
IX,ERCILLA,53,"17,60","0,00","0,00","17,60","131,74","0,00","149,34","2,10","93,65","16,80","112,55","261,89","42,80","7,00","49,80","311,69"
IX,TRAIGUEN,22,"0,80","38,76","4,95","44,51","169,03","0,00","213,54","130,50","269,43","241,72","641,65","855,19","20,00","0,92","20,92","876,11"
IX,LUMACO,80,"140,94","8,74","673,67","823,35","363,74","0,00","1.187,09","378,18","158,83","110,92","647,93","1.835,02","0,01","306,50","306,51","2.141,53"
IX,VICTORIA,29,"0,00","0,00","0,80","0,80","2,00","0,00","2,80","0,40","11,97","20,33","32,70","35,50","5,50","35,63","41,13","76,63"
IX,CURACAUTIN,4,"0,00","0,00","0,00","0,00","0,50","0,00","0,50","0,10","0,80","0,50","1,40","1,90","0,00","2,02","2,02","3,92"
IX,LONQUIMAY,7,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,25","0,01","40,00","40,26","40,26","0,00","0,00","0,00","40,26"
IX,TEMUCO,46,"0,05","0,20","0,00","0,25","6,65","0,00","6,90","1,12","17,50","13,40","32,02","38,92","5,00","4,83","9,83","48,74"
IX,LAUTARO,18,"0,80","3,35","0,40","4,55","4,80","0,00","9,35","0,50","7,66","3,51","11,67","21,02","0,00","50,46","50,46","71,48"
IX,PERQUENCO,3,"0,00","0,00","0,00","0,00","5,00","0,00","5,00","5,00","0,30","0,10","5,40","10,40","0,00","19,01","19,01","29,41"
IX,GALVARINO,86,"180,83","56,21","48,56","285,60","179,60","7,60","472,80","38,63","79,24","116,17","234,04","706,84","70,50","198,50","269,00","975,84"
IX,NUEVA IMPERIAL,18,"0,00","0,00","0,00","0,00","4,10","0,00","4,10","0,00","8,26","7,50","15,76","19,86","0,50","7,01","7,51","27,37"
IX,CARAHUE,32,"12,98","0,00","19,82","32,80","36,77","0,00","69,57","0,00","16,50","0,32","16,82","86,39","0,70","2,02","2,72","89,11"
IX,SAAVEDRA,1,"0,00","0,00","0,05","0,05","0,02","0,00","0,07","0,00","0,05","0,00","0,05","0,12","0,00","0,00","0,00","0,12"
IX,VILCUN,3,"0,50","0,00","0,00","0,50","0,00","0,00","0,50","0,00","0,50","1,20","1,70","2,20","0,00","2,50","2,50","4,70"
IX,CHOL CHOL,46,"11,74","0,04","6,01","17,78","24,96","0,00","42,74","0,40","12,06","12,23","24,69","67,43","0,00","5,10","5,10","72,53"
IX,FREIRE,6,"0,00","0,00","0,00","0,00","0,10","0,00","0,10","0,60","3,00","0,50","4,10","4,20","0,00","3,30","3,30","7,50"
IX,CUNCO,6,"0,00","0,00","0,20","0,20","0,00","0,00","0,20","0,00","0,61","0,00","0,61","0,81","0,00","1,10","1,10","1,91"
IX,PITRUFQUEN,3,"0,00","0,00","0,00","0,00","0,40","0,00","0,40","0,00","0,50","0,20","0,70","1,10","0,00","0,00","0,00","1,10"
IX,GORBEA,3,"0,01","0,00","0,10","0,11","0,00","0,00","0,11","0,00","0,01","0,00","0,01","0,12","0,00","1,30","1,30","1,42"
IX,TOLTEN,1,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2,40","0,00","2,40","2,40","0,00","0,00","0,00","2,40"
