FireID,FireSeason,RegionCode,Region_CONAF,FireName_CONAF,Area_CONAF [ha],IgnitionDate_CONAF,ControlDate_CONAF,Latitude [°],Longitude [°],FireScar,FolderLocation,FireScarImgName,PreFireImgName,PostFireImgName,RdNBRImgName,SeverityImgName,FireScarVectorName,SeverityVectorName,Threshold,NorthBoundLatitude [°],SouthBoundLatitude [°],WestBoundLongitude [°],EastBoundLongitude [°],Width [pixels],Height [pixels],TotalArea [m2],AreaUnchS [m2],AreaLowS [m2],AreaModS [m2],AreaHighS [m2],FireScarPolygons,SeverityPolygons,OverlapIDs,Observations
ID183696,2016,CL-AR,Araucania,CHOCOMBE,18.0,2016-02-25,2016-02-25,-38.0517,-72.3881,1,FireScar_CL-AR_Araucania_2016,FireScar_CL-AR_ID183696_u480_20160225.tif,ImgPreF_CL-AR_ID183696_u480_20160225.tif,ImgPosF_CL-AR_ID183696_u480_20160225.tif,RdNBR_CL-AR_ID183696_u480_20160225.tif,Severity_CL-AR_ID183696_u480_20160225.tif,FireScar_CL-AR_ID183696_u480_20160225.shp,Severity_CL-AR_ID183696_u480_20160225.shp,480.0,-38.0491320056949,-38.05910330534864,-72.40133729112429,-72.38732357269203,52.0,37.0,450693.628356934,0.0,0.0,40329.3167114258,410364.311645508,1.0,43.0,ID183553,
ID183698,2016,CL-ML,Maule,ORILLA NAVARRO,18.0,2015-12-18,2015-12-18,-35.0595,-71.6178,1,FireScar_CL-ML_Maule_2016,FireScar_CL-ML_ID183698_u400_20151218.tif,ImgPreF_CL-ML_ID183698_u400_20151218.tif,ImgPosF_CL-ML_ID183698_u400_20151218.tif,RdNBR_CL-ML_ID183698_u400_20151218.tif,Severity_CL-ML_ID183698_u400_20151218.tif,FireScar_CL-ML_ID183698_u400_20151218.shp,Severity_CL-ML_ID183698_u400_20151218.shp,400.0,-35.0550471637245,-35.05989806625875,-71.62384541271881,-71.61845552101408,20.0,18.0,123485.403076172,0.0,0.0,44101.766784668,79383.63629150389,1.0,20.0,,
ID183699,2016,CL-ML,Maule,POBLACION VINA DEL MAR,18.0,2015-12-23,2015-12-23,-36.1316,-71.8352,1,FireScar_CL-ML_Maule_2016,FireScar_CL-ML_ID183699_u600_20151223.tif,ImgPreF_CL-ML_ID183699_u600_20151223.tif,ImgPosF_CL-ML_ID183699_u600_20151223.tif,RdNBR_CL-ML_ID183699_u600_20151223.tif,Severity_CL-ML_ID183699_u600_20151223.tif,FireScar_CL-ML_ID183699_u600_20151223.shp,Severity_CL-ML_ID183699_u600_20151223.shp,600.0,-36.1260186454518,-36.13356449383841,-71.8429445105156,-71.83054775959474,46.0,28.0,290168.798706055,0.0,0.0,44976.2456054688,245192.553100586,3.0,45.0,,
ID183700,2016,CL-ML,Maule,PASO CUNAO,18.0,2016-01-18,2016-01-18,-35.8894,-71.7322,1,FireScar_CL-ML_Maule_2016,FireScar_CL-ML_ID183700_u500_20160118.tif,ImgPreF_CL-ML_ID183700_u500_20160118.tif,ImgPosF_CL-ML_ID183700_u500_20160118.tif,RdNBR_CL-ML_ID183700_u500_20160118.tif,Severity_CL-ML_ID183700_u500_20160118.tif,FireScar_CL-ML_ID183700_u500_20160118.shp,Severity_CL-ML_ID183700_u500_20160118.shp,500.0,-35.8867074537624,-35.8934448183933,-71.7346076872507,-71.72652284969362,30.0,25.0,194995.69128418,0.0,0.0,47293.5946655274,147702.096618652,2.0,31.0,,
ID183701,2016,CL-AR,Araucania,FUNDO SANTA ROSA,19.0,2016-03-08,2016-03-08,-38.6442,-72.2589,1,FireScar_CL-AR_Araucania_2016,FireScar_CL-AR_ID183701_u525_20160308.tif,ImgPreF_CL-AR_ID183701_u525_20160308.tif,ImgPosF_CL-AR_ID183701_u525_20160308.tif,RdNBR_CL-AR_ID183701_u525_20160308.tif,Severity_CL-AR_ID183701_u525_20160308.tif,FireScar_CL-AR_ID183701_u525_20160308.shp,Severity_CL-AR_ID183701_u525_20160308.shp,525.0,-38.6196520426392,-38.65738128457225,-72.2717103956258,-72.23667609954512,130.0,140.0,3430335.80200195,0.0,0.0,207070.163146973,3223265.63885498,7.0,173.0,,
ID183702,2016,CL-RM,Metropolitana,LONQUEN,19.0,2016-03-01,2016-03-02,-33.7013,-70.8074,1,FireScar_CL-RM_Metropolitana_2016,FireScar_CL-RM_ID183702_u430_20160301.tif,ImgPreF_CL-RM_ID183702_u430_20160301.tif,ImgPosF_CL-RM_ID183702_u430_20160301.tif,RdNBR_CL-RM_ID183702_u430_20160301.tif,Severity_CL-RM_ID183702_u430_20160301.tif,FireScar_CL-RM_ID183702_u430_20160301.shp,Severity_CL-RM_ID183702_u430_20160301.shp,430.0,-33.6951774866244,-33.70218434584053,-70.81239721657359,-70.80754631403934,18.0,26.0,182974.568664551,0.0,0.0,98582.0709838867,84392.4976806641,1.0,27.0,,
ID183703,2016,CL-BI,BioBio,HUAPE IV,18.0,2016-03-03,2016-03-04,-38.0163,-73.3571,1,FireScar_CL-BI_BioBio_2016,FireScar_CL-BI_ID183703_u230_20160303.tif,ImgPreF_CL-BI_ID183703_u230_20160303.tif,ImgPosF_CL-BI_ID183703_u230_20160303.tif,RdNBR_CL-BI_ID183703_u230_20160303.tif,Severity_CL-BI_ID183703_u230_20160303.tif,FireScar_CL-BI_ID183703_u230_20160303.shp,Severity_CL-BI_ID183703_u230_20160303.shp,230.0,-38.0154451825404,-38.03026738472838,-73.36316346583101,-73.35319216617728,37.0,55.0,421862.1338500979,0.0,53087.9866333008,164218.407409668,204555.739807129,2.0,81.0,ID183820,
ID183704,2016,CL-AR,Araucania,BLANCO LEPIN,19.0,2016-02-11,2016-02-12,-38.6197,-72.3936,1,FireScar_CL-AR_Araucania_2016,FireScar_CL-AR_ID183704_u500_20160211.tif,ImgPreF_CL-AR_ID183704_u500_20160211.tif,ImgPosF_CL-AR_ID183704_u500_20160211.tif,RdNBR_CL-AR_ID183704_u500_20160211.tif,Severity_CL-AR_ID183704_u500_20160211.tif,FireScar_CL-AR_ID183704_u500_20160211.shp,Severity_CL-AR_ID183704_u500_20160211.shp,500.0,-38.6172265913721,-38.63555222316815,-72.42316635252841,-72.39567790483434,102.0,68.0,1441369.51733398,0.0,0.0,194472.895019531,1246896.62231445,3.0,93.0,"ID183868, ID183889",
ID183705,2016,CL-VS,Valparaiso,FUNDO LOS MOLLES,19.0,2016-01-20,2016-01-21,-33.1075,-71.3522,1,FireScar_CL-VS_Valparaiso_2016,FireScar_CL-VS_ID183705_u410_20160120.tif,ImgPreF_CL-VS_ID183705_u410_20160120.tif,ImgPosF_CL-VS_ID183705_u410_20160120.tif,RdNBR_CL-VS_ID183705_u410_20160120.tif,Severity_CL-VS_ID183705_u410_20160120.tif,FireScar_CL-VS_ID183705_u410_20160120.shp,Severity_CL-VS_ID183705_u410_20160120.shp,410.0,-33.1068708070545,-33.1136081716854,-71.3546203220682,-71.34976941953396,18.0,25.0,175172.966064453,0.0,0.0,69918.5444335938,105254.421630859,1.0,21.0,,
ID183706,2016,CL-VS,Valparaiso,CUNCUMEN VALLE BAJO,19.0,2016-02-21,2016-02-21,-33.7544,-71.4461,1,FireScar_CL-VS_Valparaiso_2016,FireScar_CL-VS_ID183706_u380_20160221.tif,ImgPreF_CL-VS_ID183706_u380_20160221.tif,ImgPosF_CL-VS_ID183706_u380_20160221.tif,RdNBR_CL-VS_ID183706_u380_20160221.tif,Severity_CL-VS_ID183706_u380_20160221.tif,FireScar_CL-VS_ID183706_u380_20160221.shp,Severity_CL-VS_ID183706_u380_20160221.shp,380.0,-33.754196800791,-33.76066467083666,-71.44705696480409,-71.4403196001732,25.0,24.0,148519.848388672,0.0,0.0,79111.1760864258,69408.67230224611,2.0,28.0,,
