SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR,FAMILY_CODE
Glaucidium/Aegolius sp. (pygmy-owl/saw-whet owl sp.),pygmy-owl/saw-whet owl sp.,y00395,spuh,9024.0,,,,Strigiformes,Owls,Strigidae,,,,strigi1
Aegolius harrisii,Buff-fronted Owl,bufowl1,species,9025.0,BFOW,AEHA,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox rufa,Rufous Owl,rufowl2,species,9029.0,RUOW,NIRU,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox strenua,Powerful Owl,powowl1,species,9034.0,POOW,NIST,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox connivens,Barking Owl,barowl1,species,9035.0,BAOW,NICO,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox rudolfi,Sumba Boobook,sumboo1,species,9040.0,SUBO,NIRU,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox affinis,Andaman Boobook,andhao1,species,9041.0,ANBO AHOW ANHO,NIAF,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox boobook,Southern Boobook,souboo8,species,9042.0,AUBO SOBO,NIBO,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox boobook [boobook Group],Southern Boobook (Boobook),souboo1,issf,9043.0,SOBO AUBO,NIBO,,Strigiformes,Owls,Strigidae,souboo8,,,strigi1
Ninox boobook lurida,Southern Boobook (Red),souboo7,issf,9050.0,AUBO SOBO,NIBO,,Strigiformes,Owls,Strigidae,souboo8,,,strigi1
Ninox rotiensis,Rote Boobook,souboo4,species,9051.0,ROBO SOBO,NIRO,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox fusca,Timor Boobook,souboo5,species,9052.0,TIBO SOBO,NIFU,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox plesseni,Alor Boobook,souboo6,species,9053.0,ALBO SOBO,NIPL,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox leucopsis,Tasmanian Boobook,souboo3,species,9054.0,MORE TABO,NILE,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox boobook/leucopsis,Southern/Tasmanian Boobook,souboo2,slash,9055.0,MORE TABO AUBO SOBO,NIBO NILE,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox novaeseelandiae,Morepork,morepo2,species,9056.0,MORE MOBO,NINO,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox albifacies,Laughing Owl,lauowl1,species,9060.0,LAOW,NIAL,,Strigiformes,Owls,Strigidae,,true,1970,strigi1
Ninox sumbaensis,Least Boobook,lishao1,species,9061.0,LSHO LEBO,NISU,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox scutulata,Brown Boobook,brnhao1,species,9062.0,BRHO BHOW BRBO,NISC,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox obscura,Hume's Boobook,brnhao3,species,9072.0,HUBO HHOW HUHO,NIOB,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox japonica,Northern Boobook,norboo1,species,9073.0,NOBO,NIJA,NOBB,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox scutulata/japonica,Brown/Northern Boobook,y00785,slash,9076.0,BRHO BHOW NOBO BRBO NOBB,NIJA NISC,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox randi,Chocolate Boobook,choboo1,species,9077.0,CHBO,NIRA,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox philippensis,Luzon Boobook,phihao1,species,9078.0,LUBO LUHO LHOW,NIPH,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox spilocephala,Mindanao Boobook,minboo1,species,9082.0,MIBO MIHO MHOW,NISP,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox mindorensis,Mindoro Boobook,minboo2,species,9083.0,MIBO MIHO MHOW,NIMI,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox spilonotus,Romblon Boobook,romboo1,species,9084.0,RHOW ROBO ROHO,NISP,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox rumseyi,Cebu Boobook,cebboo1,species,9087.0,CEBO CEHO CHOW,NIRU,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox leventisi,Camiguin Boobook,camboo1,species,9088.0,CABO CAHO CHOW,NILE,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox reyi,Sulu Boobook,sulboo1,species,9089.0,SUBO SUHO SHOW,NIRE,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox ochracea,Ochre-bellied Boobook,ocbhao1,species,9090.0,OBBO,NIOC,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox burhani,Togian Boobook,toghao1,species,9091.0,TOBO,NIBU,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox ios,Cinnabar Boobook,cinhao1,species,9092.0,CIBO,NIIO,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox [undescribed form],White-spotted Boobook (undescribed form),whshao1,form,9093.0,WSBO,,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox hypogramma,Halmahera Boobook,molhao3,species,9094.0,HABO,NIHY,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox forbesi,Tanimbar Boobook,molhao2,species,9095.0,TABO,NIFO,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox squamipila,Seram Boobook,hanboo2,species,9096.0,SEBO,NISQ,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox hantu,Buru Boobook,hanboo1,species,9097.0,BUBO,NIHA,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox natalis,Christmas Island Boobook,chihao1,species,9098.0,CIBO CHBO,NINA,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox theomacha,Papuan Boobook,junhao1,species,9099.0,JUBO PABO,NITH,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox meeki,Manus Boobook,manhao1,species,9104.0,MABO,NIME,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox punctulata,Speckled Boobook,spehao1,species,9105.0,SPBO,NIPU,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox variegata,Bismarck Boobook,bishao1,species,9106.0,NIBO BIBO,NIVA,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox odiosa,New Britain Boobook,nebhao1,species,9109.0,NBBO,NIOD,,Strigiformes,Owls,Strigidae,,,,strigi1
Ninox sp.,boobook sp.,booboo1,spuh,9110.0,,,,Strigiformes,Owls,Strigidae,,,,strigi1
Uroglaux dimorpha,Papuan Owl,paphao1,species,9111.0,PAOW PAHO PHOW,URDI,,Strigiformes,Owls,Strigidae,,,,strigi1
Strigiformes sp.,owl sp.,owl1,spuh,9112.0,,,UNOW,Strigiformes,Owls,Strigidae,,,,strigi1
Colius striatus,Speckled Mousebird,spemou2,species,9114.0,SPMO,COST,,Coliiformes,Mousebirds,Coliidae,,,,coliid1
Colius leucocephalus,White-headed Mousebird,whhmou1,species,9132.0,WHMO,COLE,,Coliiformes,Mousebirds,Coliidae,,,,coliid1
Colius castanotus,Red-backed Mousebird,rebmou1,species,9135.0,RBMO,COCA,,Coliiformes,Mousebirds,Coliidae,,,,coliid1
Colius colius,White-backed Mousebird,whbmou1,species,9136.0,WBMO,COCO,,Coliiformes,Mousebirds,Coliidae,,,,coliid1
Urocolius macrourus,Blue-naped Mousebird,blnmou1,species,9139.0,BNMO,URMA,,Coliiformes,Mousebirds,Coliidae,,,,coliid1
Urocolius indicus,Red-faced Mousebird,refmou1,species,9147.0,RFMO,URIN,,Coliiformes,Mousebirds,Coliidae,,,,coliid1
Coliidae sp.,mousebird sp.,mouseb1,spuh,9153.0,,,,Coliiformes,Mousebirds,Coliidae,,,,coliid1
Leptosomus discolor,Cuckoo-roller,cuckoo1,species,9155.0,CURO,LEDI,,Leptosomiformes,Cuckoo-roller,Leptosomidae,,,,leptos1
Euptilotis neoxenus,Eared Quetzal,earque,species,9160.0,,EUNE,EAQU,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Pharomachrus pavoninus,Pavonine Quetzal,pavque1,species,9161.0,PAQU,PHPA,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Pharomachrus auriceps,Golden-headed Quetzal,gohque1,species,9162.0,,PHAU,GHQU,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Pharomachrus mocinno,Resplendent Quetzal,resque1,species,9165.0,,PHMO,REQU,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Pharomachrus mocinno mocinno,Resplendent Quetzal (Guatemalan),resque2,issf,9166.0,REQU,PHMO,,Trogoniformes,Trogons,Trogonidae,resque1,,,trogon1
Pharomachrus mocinno costaricensis,Resplendent Quetzal (Costa Rican),resque3,issf,9167.0,REQU,PHMO,,Trogoniformes,Trogons,Trogonidae,resque1,,,trogon1
Pharomachrus fulgidus,White-tipped Quetzal,whtque1,species,9168.0,WTQU,PHFU,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Pharomachrus antisianus,Crested Quetzal,creque1,species,9171.0,CRQU,PHAN,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Pharomachrus auriceps/antisianus,Golden-headed/Crested Quetzal,y00787,slash,9172.0,GHQU CRQU,PHAN PHAU,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Priotelus temnurus,Cuban Trogon,cubtro1,species,9173.0,,PRTE,CUTR,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Priotelus roseigaster,Hispaniolan Trogon,histro1,species,9176.0,,PRRO,HITR,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon clathratus,Lattice-tailed Trogon,lattro1,species,9177.0,,TRCL,LTTR,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon massena,Slaty-tailed Trogon,slttro1,species,9178.0,,TRMA,STTR,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon massena massena/hoffmanni,Slaty-tailed Trogon (Massena),slttro2,issf,9179.0,STTR,TRMA,,Trogoniformes,Trogons,Trogonidae,slttro1,,,trogon1
Trogon massena australis,Slaty-tailed Trogon (Chapman's),slttro3,issf,9182.0,STTR,TRMA,,Trogoniformes,Trogons,Trogonidae,slttro1,,,trogon1
Trogon comptus,Blue-tailed Trogon,buttro1,species,9183.0,CHTR BTTR,TRCO,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon mesurus,Ecuadorian Trogon,bkttro2,species,9184.0,ECTR,TRME,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon melanurus,Black-tailed Trogon,blttro1,species,9185.0,BTTR,TRME,BTAT,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon melanurus macroura,Black-tailed Trogon (Large-tailed),bkttro3,issf,9186.0,BTAT BTTR,TRME,,Trogoniformes,Trogons,Trogonidae,blttro1,,,trogon1
Trogon melanurus [melanurus Group],Black-tailed Trogon (Black-tailed),bkttro1,issf,9187.0,BTAT BTTR,TRME,,Trogoniformes,Trogons,Trogonidae,blttro1,,,trogon1
Trogon melanocephalus,Black-headed Trogon,blhtro1,species,9191.0,,TRME,BHTR,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon citreolus,Citreoline Trogon,cittro1,species,9194.0,,TRCI,CITR,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon chionurus,White-tailed Trogon,whttro1,species,9197.0,WTTR,TRCH,WTAT,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon viridis,Green-backed Trogon,gnbtro1,species,9198.0,GBTR,TRVI,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon bairdii,Baird's Trogon,baitro1,species,9199.0,,TRBA,BATR,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon caligatus,Gartered Trogon,gartro1,species,9200.0,VITR,TRCA,GATR,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon violaceus,Guianan Trogon,viotro2,species,9204.0,GUTR VITR,TRVI,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon ramonianus,Amazonian Trogon,viotro3,species,9205.0,AMTR VITR,TRRA,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon violaceus/ramonianus,Guianan/Amazonian Trogon,viotro1,slash,9208.0,AMTR GUTR VITR,TRVI TRRA,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon curucui,Blue-crowned Trogon,blctro1,species,9209.0,BCTR,TRCU,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon surrucura,Surucua Trogon,surtro1,species,9213.0,SSTR SUTR,TRSU,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon surrucura aurantius,Surucua Trogon (Orange-bellied),surtro2,issf,9214.0,SSTR SUTR,TRSU,,Trogoniformes,Trogons,Trogonidae,surtro1,,,trogon1
Trogon surrucura surrucura,Surucua Trogon (Red-bellied),surtro3,issf,9215.0,SSTR SUTR,TRSU,,Trogoniformes,Trogons,Trogonidae,surtro1,,,trogon1
Trogon rufus,Black-throated Trogon,blttro2,species,9216.0,BTTR,TRRU,BTHT,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon rufus tenellus,Black-throated Trogon (tenellus),bkttro7,issf,9217.0,BTHT BTTR,TRRU,,Trogoniformes,Trogons,Trogonidae,blttro2,,,trogon1
Trogon rufus cupreicauda,Black-throated Trogon (cupreicauda),bkttro5,issf,9218.0,BTHT BTTR,TRRU,,Trogoniformes,Trogons,Trogonidae,blttro2,,,trogon1
Trogon rufus [rufus Group],Black-throated Trogon (rufus Group),bkttro6,issf,9219.0,BTHT BTTR,TRRU,,Trogoniformes,Trogons,Trogonidae,blttro2,,,trogon1
Trogon rufus chrysochloros,Black-throated Trogon (chrysochloros),bkttro4,issf,9223.0,BTHT BTTR,TRRU,,Trogoniformes,Trogons,Trogonidae,blttro2,,,trogon1
Trogon elegans,Elegant Trogon,eletro,species,9224.0,ETTR,TREL,ELTR,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon elegans [ambiguus Group],Elegant Trogon (Coppery-tailed),eletro1,issf,9225.0,ETTR ELTR,TREL,,Trogoniformes,Trogons,Trogonidae,eletro,,,trogon1
Trogon elegans elegans/lubricus,Elegant Trogon (Elegant),eletro2,issf,9229.0,ETTR ELTR,TREL,,Trogoniformes,Trogons,Trogonidae,eletro,,,trogon1
Trogon mexicanus,Mountain Trogon,moutro1,species,9232.0,,TRME,MOTR,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon collaris,Collared Trogon,coltro1,species,9235.0,,TRCO,COTR,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon collaris puella,Collared Trogon (Xalapa),coltro2,issf,9236.0,COTR,TRCO,,Trogoniformes,Trogons,Trogonidae,coltro1,,,trogon1
Trogon collaris aurantiiventris/underwoodi,Collared Trogon (Orange-bellied),orbtro1,issf,9237.0,COTR,TRCO,OBTR,Trogoniformes,Trogons,Trogonidae,coltro1,,,trogon1
Trogon collaris [collaris Group],Collared Trogon (Collared),coltro3,issf,9240.0,COTR,TRCO,,Trogoniformes,Trogons,Trogonidae,coltro1,,,trogon1
Trogon personatus,Masked Trogon,mastro1,species,9248.0,MATR,TRPE,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Trogon sp.,new world trogon sp.,newtro1,spuh,9258.0,,,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Apaloderma narina,Narina Trogon,nartro1,species,9259.0,NATR,APNA,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Apaloderma aequatoriale,Bare-cheeked Trogon,bactro1,species,9264.0,BCTR,APAE,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Apaloderma vittatum,Bar-tailed Trogon,battro1,species,9265.0,BTTR,APVI,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Apaloderma sp.,african trogon sp.,afrtro1,spuh,9268.0,,,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Harpactes reinwardtii,Javan Trogon,javtro1,species,9269.0,JATR,HARE,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Harpactes mackloti,Sumatran Trogon,sumtro1,species,9270.0,SUTR,HAMA,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Harpactes fasciatus,Malabar Trogon,maltro1,species,9271.0,MATR,HAFA,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Harpactes kasumba,Red-naped Trogon,rentro1,species,9275.0,RNTR,HAKA,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Harpactes diardii,Diard's Trogon,diatro1,species,9278.0,DITR,HADI,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Harpactes ardens,Philippine Trogon,phitro1,species,9281.0,PHTR,HAAR,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Harpactes whiteheadi,Whitehead's Trogon,whitro1,species,9287.0,WHTR,HAWH,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Harpactes orrhophaeus,Cinnamon-rumped Trogon,cirtro1,species,9288.0,CRTR,HAOR,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Harpactes duvaucelii,Scarlet-rumped Trogon,scrtro1,species,9291.0,SRTR,HADU,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Harpactes erythrocephalus,Red-headed Trogon,rehtro1,species,9292.0,RHTR,HAER,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Harpactes oreskios,Orange-breasted Trogon,orbtro2,species,9302.0,OBTR,HAOR,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Harpactes oreskios [dulitensis Group],Orange-breasted Trogon (Spice),orbtro5,issf,9303.0,OBTR,HAOR,,Trogoniformes,Trogons,Trogonidae,orbtro2,,,trogon1
Harpactes oreskios oreskios,Orange-breasted Trogon (Orange-breasted),orbtro4,issf,9308.0,OBTR,HAOR,,Trogoniformes,Trogons,Trogonidae,orbtro2,,,trogon1
Harpactes wardi,Ward's Trogon,wartro1,species,9309.0,WATR,HAWA,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Harpactes sp.,asian trogon sp.,asitro1,spuh,9310.0,,,,Trogoniformes,Trogons,Trogonidae,,,,trogon1
Upupa epops,Eurasian Hoopoe,hoopoe,species,9312.0,COHO HOOP EUHO,UPEP,EHOO,Bucerotiformes,Hoopoes,Upupidae,,,,upupid1
Upupa epops [epops Group],Eurasian Hoopoe (Eurasian),eurhoo1,issf,9313.0,HOOP EHOO COHO EUHO,UPEP,,Bucerotiformes,Hoopoes,Upupidae,hoopoe,,,upupid1
Upupa epops senegalensis/waibeli,Eurasian Hoopoe (Central African),eurhoo3,issf,9318.0,HOOP EHOO COHO EUHO,UPEP,,Bucerotiformes,Hoopoes,Upupidae,hoopoe,,,upupid1
Upupa epops africana,Eurasian Hoopoe (African),eurhoo2,issf,9321.0,HOOP AFHO EHOO COHO EUHO,UPEP,,Bucerotiformes,Hoopoes,Upupidae,hoopoe,,,upupid1
Upupa marginata,Madagascar Hoopoe,madhoo1,species,9322.0,MAHO,UPMA,,Bucerotiformes,Hoopoes,Upupidae,,,,upupid1
Upupa antaios,St. Helena Hoopoe,sthhoo1,species,9323.0,SHHO,UPAN,,Bucerotiformes,Hoopoes,Upupidae,,true,1502,upupid1
Phoeniculus purpureus,Green Woodhoopoe,grewoo2,species,9325.0,GRWO GRWH GWHO RBWH,PHPU,,Bucerotiformes,Woodhoopoes and Scimitarbills,Phoeniculidae,,,,phoeni2
Phoeniculus damarensis,Violet Woodhoopoe,viowoo1,species,9332.0,VWHO VIWH VIWO,PHDA,,Bucerotiformes,Woodhoopoes and Scimitarbills,Phoeniculidae,,,,phoeni2
Phoeniculus damarensis damarensis,Violet Woodhoopoe (Violet),viowoo2,issf,9333.0,VWHO VIWH VIWO,PHDA,,Bucerotiformes,Woodhoopoes and Scimitarbills,Phoeniculidae,viowoo1,,,phoeni2
Phoeniculus damarensis granti,Violet Woodhoopoe (Grant's),viowoo3,issf,9334.0,VWHO VIWO VIWH GWHO,PHDA,,Bucerotiformes,Woodhoopoes and Scimitarbills,Phoeniculidae,viowoo1,,,phoeni2
Phoeniculus purpureus/damarensis,Green/Violet Woodhoopoe,y00659,slash,9335.0,VWHO GRWO VIWO GWHO RBWH VIWH GRWH,PHDA PHPU,,Bucerotiformes,Woodhoopoes and Scimitarbills,Phoeniculidae,,,,phoeni2
Phoeniculus somaliensis,Black-billed Woodhoopoe,blbwoo2,species,9336.0,BBWH BBWO,PHSO,,Bucerotiformes,Woodhoopoes and Scimitarbills,Phoeniculidae,,,,phoeni2
Phoeniculus bollei,White-headed Woodhoopoe,whhwoo1,species,9340.0,WHWO WHWH,PHBO,,Bucerotiformes,Woodhoopoes and Scimitarbills,Phoeniculidae,,,,phoeni2
Phoeniculus bollei bollei/jacksoni,White-headed Woodhoopoe (bollei/jacksoni),whhwoo2,issf,9341.0,WHWO WHWH,PHBO,,Bucerotiformes,Woodhoopoes and Scimitarbills,Phoeniculidae,whhwoo1,,,phoeni2
Phoeniculus bollei okuensis,White-headed Woodhoopoe (Oku),whhwoo3,issf,9344.0,WHWO WHWH,PHBO,,Bucerotiformes,Woodhoopoes and Scimitarbills,Phoeniculidae,whhwoo1,,,phoeni2
Phoeniculus sp.,woodhoopoe sp.,woodho1,spuh,9345.0,,,,Bucerotiformes,Woodhoopoes and Scimitarbills,Phoeniculidae,,,,phoeni2
Rhinopomastus castaneiceps,Forest Scimitarbill,forwoo1,species,9346.0,FOSC FOWO FWHO FOWH,RHCA,,Bucerotiformes,Woodhoopoes and Scimitarbills,Phoeniculidae,,,,phoeni2
Rhinopomastus castaneiceps castaneiceps,Forest Scimitarbill (Western),forwoo2,issf,9347.0,FOSC FOWO FWHO FOWH,RHCA,,Bucerotiformes,Woodhoopoes and Scimitarbills,Phoeniculidae,forwoo1,,,phoeni2
Rhinopomastus castaneiceps brunneiceps,Forest Scimitarbill (Eastern),forwoo3,issf,9348.0,FOWO FOSC FWHO FOWH,RHCA,,Bucerotiformes,Woodhoopoes and Scimitarbills,Phoeniculidae,forwoo1,,,phoeni2
Rhinopomastus aterrimus,Black Scimitarbill,blsbil1,species,9349.0,BLSC,RHAT,,Bucerotiformes,Woodhoopoes and Scimitarbills,Phoeniculidae,,,,phoeni2
Rhinopomastus cyanomelas,Common Scimitarbill,cosbil1,species,9354.0,COSC,RHCY,,Bucerotiformes,Woodhoopoes and Scimitarbills,Phoeniculidae,,,,phoeni2
Rhinopomastus minor,Abyssinian Scimitarbill,absbil1,species,9357.0,ABSC,RHMI,,Bucerotiformes,Woodhoopoes and Scimitarbills,Phoeniculidae,,,,phoeni2
Phoeniculus/Rhinopomastus sp.,woodhoopoe/scimitarbill sp.,y00961,spuh,9360.0,,,,Bucerotiformes,Woodhoopoes and Scimitarbills,Phoeniculidae,,,,phoeni2
Bucorvus abyssinicus,Abyssinian Ground-Hornbill,noghor1,species,9362.0,AGHO ABGH NGHO NOGH,BUAB,,Bucerotiformes,Ground-Hornbills,Bucorvidae,,,,bucorv1
Bucorvus leadbeateri,Southern Ground-Hornbill,soghor1,species,9363.0,SGHO SOGH,BULE,,Bucerotiformes,Ground-Hornbills,Bucorvidae,,,,bucorv1
Lophoceros camurus,Red-billed Dwarf Hornbill,rbdhor1,species,9365.0,DWHO RBDH,LOCA,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Lophoceros alboterminatus,Crowned Hornbill,crohor1,species,9366.0,CRHO,LOAL,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Lophoceros bradfieldi,Bradfield's Hornbill,brahor1,species,9367.0,BRHO,LOBR,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Lophoceros fasciatus,African Pied Hornbill,afphor1,species,9368.0,APHO CAPH,LOFA,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Lophoceros fasciatus semifasciatus,African Pied Hornbill (Western),afphor2,issf,9369.0,APHO CAPH,LOFA,,Bucerotiformes,Hornbills,Bucerotidae,afphor1,,,bucero1
Lophoceros fasciatus fasciatus,African Pied Hornbill (Congo),afphor3,issf,9370.0,APHO CAPH,LOFA,,Bucerotiformes,Hornbills,Bucerotidae,afphor1,,,bucero1
Lophoceros hemprichii,Hemprich's Hornbill,hemhor1,species,9371.0,HEHO,LOHE,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Lophoceros nasutus,African Gray Hornbill,afghor1,species,9372.0,AGHO,LONA,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Lophoceros pallidirostris,Pale-billed Hornbill,pabhor1,species,9375.0,PBHO,LOPA,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Lophoceros sp.,Lophoceros sp.,lophoc1,spuh,9378.0,,,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Tockus flavirostris,Eastern Yellow-billed Hornbill,eybhor1,species,9379.0,EYBH,TOFL,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Tockus leucomelas,Southern Yellow-billed Hornbill,sybhor1,species,9380.0,SYBH,TOLE,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Tockus jacksoni,Jackson's Hornbill,jachor1,species,9383.0,JAHO,TOJA,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Tockus deckeni,Von der Decken's Hornbill,vddhor1,species,9384.0,VDDH,TODE,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Tockus monteiri,Monteiro's Hornbill,monhor1,species,9385.0,MOHO,TOMO,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Tockus rufirostris,Southern Red-billed Hornbill,srbhor1,species,9386.0,RBHO SRBH,TORU,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Tockus damarensis,Damara Red-billed Hornbill,drbhor1,species,9387.0,DRBH DAHO,TODA,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Tockus rufirostris x damarensis,Southern x Damara Red-billed Hornbill (hybrid),x00667,hybrid,9388.0,RBHO DAHO SRBH DRBH,TORU TODA,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Tockus ruahae,Tanzanian Red-billed Hornbill,trbhor1,species,9389.0,RBHO TRBH,TORU,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Tockus kempi,Western Red-billed Hornbill,wrbhor2,species,9390.0,WRBH RBHO,TOKE,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Tockus erythrorhynchus,Northern Red-billed Hornbill,rebhor1,species,9391.0,RBHO NRBH,TOER,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Tockus sp.,Tockus sp.,tockus1,spuh,9392.0,,,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Berenicornis comatus,White-crowned Hornbill,whchor2,species,9393.0,WCHO,BECO,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Horizocerus albocristatus,White-crested Hornbill,whchor3,species,9394.0,WLTH WCHO,HOAL,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
Horizocerus albocristatus albocristatus/macrourus,White-crested Hornbill (White-cheeked),whchor1,issf,9395.0,WLTH WCHO,HOAL,,Bucerotiformes,Hornbills,Bucerotidae,whchor3,,,bucero1
Horizocerus albocristatus cassini,White-crested Hornbill (Dark-cheeked),whchor4,issf,9398.0,WLTH WCHO,HOAL,,Bucerotiformes,Hornbills,Bucerotidae,whchor3,,,bucero1
Horizocerus hartlaubi,Black Dwarf Hornbill,bldhor1,species,9399.0,WLHO BDHO,HOHA,,Bucerotiformes,Hornbills,Bucerotidae,,,,bucero1
