SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,FAMILY_CODE
Chaetura sp.,Chaetura sp.,chaetu,spuh,3895.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Hirundapus caudacutus,White-throated Needletail,whtnee,species,3896.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Hirundapus caudacutus caudacutus,White-throated Needletail (White-lored),whtnee1,issf,3897.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Hirundapus caudacutus nudipes,White-throated Needletail (Himalayan),whtnee2,issf,3898.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Hirundapus cochinchinensis,Silver-backed Needletail,sibnee1,species,3899.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Hirundapus giganteus,Brown-backed Needletail,brbnee1,species,3903.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Hirundapus celebensis,Purple Needletail,purnee1,species,3906.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Hirundapus sp.,needletail sp.,hirund1,spuh,3907.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Hydrochous gigas,Waterfall Swift,watswi1,species,3908.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Collocalia troglodytes,Pygmy Swiftlet,pygswi2,species,3909.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Collocalia dodgei,Bornean Swiftlet,cavswi3,species,3910.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Collocalia natalis,Christmas Island Swiftlet,chiswi1,species,3911.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Collocalia linchi,Cave Swiftlet,cavswi2,species,3912.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Collocalia affinis,Plume-toed Swiftlet,pltswi1,species,3916.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Collocalia marginata,Gray-rumped Swiftlet,gyrswi5,species,3922.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Collocalia isonota,Ridgetop Swiftlet,ridswi1,species,3925.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Collocalia marginata/isonota,Gray-rumped/Ridgetop Swiftlet,y01084,slash,3928.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Collocalia sumbawae,Tenggara Swiftlet,tenswi1,species,3929.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Collocalia neglecta,Drab Swiftlet,draswi1,species,3932.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Collocalia esculenta,Glossy Swiftlet,gloswi1,species,3935.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Collocalia neglecta/esculenta,Drab/Glossy Swiftlet,y01077,slash,3953.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Collocalia uropygialis,Satin Swiftlet,satswi1,species,3954.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Collocalia sp.,white-bellied swiftlet sp.,whbswi1,spuh,3957.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus elaphrus,Seychelles Swiftlet,seyswi1,species,3958.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus francicus,Mascarene Swiftlet,masswi1,species,3959.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus unicolor,Indian Swiftlet,indswi1,species,3962.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus sororum,Sulawesi Swiftlet,molswi4,species,3963.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus infuscatus,Halmahera Swiftlet,molswi3,species,3964.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus ceramensis,Seram Swiftlet,molswi1,species,3965.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus mearnsi,Philippine Swiftlet,phiswi1,species,3966.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus hirundinaceus,Mountain Swiftlet,mouswi2,species,3967.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus spodiopygius,White-rumped Swiftlet,whrswi2,species,3971.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus terraereginae,Australian Swiftlet,ausswi1,species,3983.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus brevirostris,Himalayan Swiftlet,himswi2,species,3986.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus brevirostris brevirostris/innominatus,Himalayan Swiftlet (Himalayan),himswi1,issf,3987.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus brevirostris rogersi,Himalayan Swiftlet (Indochinese),indswi2,issf,3990.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus vulcanorum,Volcano Swiftlet,volswi1,species,3991.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus whiteheadi,Whitehead's Swiftlet,whiswi1,species,3992.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus nuditarsus,Bare-legged Swiftlet,balswi1,species,3995.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus orientalis,Mayr's Swiftlet,mayswi1,species,3996.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus amelis,Ameline Swiftlet,palswi2,species,3999.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus vanikorensis,Uniform Swiftlet,uniswi1,species,4002.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus salangana,Mossy-nest Swiftlet,monswi2,species,4015.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus pelewensis,Palau Swiftlet,palswi1,species,4020.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus bartschi,Mariana Swiftlet,marswi,species,4021.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus inquietus,Caroline Islands Swiftlet,caiswi1,species,4022.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus sawtelli,Atiu Swiftlet,atiswi1,species,4026.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus leucophaeus,Tahiti Swiftlet,polswi1,species,4027.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus ocistus,Marquesan Swiftlet,marswi2,species,4028.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus maximus,Black-nest Swiftlet,blnswi1,species,4031.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus fuciphagus,White-nest Swiftlet,ednswi1,species,4035.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus germani,Germain's Swiftlet,gerswi1,species,4042.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus fuciphagus/germani,White-nest/Germain's Swiftlet (Edible-nest Swiftlet),y00731,slash,4045.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus papuensis,Three-toed Swiftlet,papswi1,species,4046.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aerodramus sp.,dark swiftlet sp.,aerodr1,spuh,4047.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Collocalia/Aerodramus sp.,swiftlet sp.,swiftl1,spuh,4048.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Schoutedenapus myoptilus,Scarce Swift,scaswi1,species,4049.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Tachymarptis melba,Alpine Swift,alpswi1,species,4053.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Tachymarptis aequatorialis,Mottled Swift,motswi2,species,4064.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus alexandri,Cape Verde Swift,aleswi1,species,4069.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus apus,Common Swift,comswi,species,4070.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus alexandri/apus,Cape Verde/Common Swift,y01231,slash,4073.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus unicolor,Plain Swift,plaswi1,species,4074.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus niansae,Nyanza Swift,nyaswi1,species,4075.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus pallidus,Pallid Swift,palswi3,species,4078.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus apus/pallidus,Common/Pallid Swift,y00732,slash,4082.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus unicolor/pallidus,Plain/Pallid Swift,y00860,slash,4083.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus barbatus,African Swift,afrswi1,species,4084.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus barbatus sladeniae,African Swift (Bioko),afrswi2,issf,4085.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus barbatus [barbatus Group],African Swift (African),afrswi3,issf,4086.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus apus/barbatus,Common/African Swift,y00370,slash,4093.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus berliozi,Forbes-Watson's Swift,fowswi1,species,4094.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus bradfieldi,Bradfield's Swift,braswi1,species,4097.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus balstoni,Malagasy Swift,madswi1,species,4100.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus pacificus,Pacific Swift,fotswi,species,4103.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus salimalii,Salim Ali's Swift,saaswi1,species,4106.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus leuconyx,Blyth's Swift,blyswi1,species,4107.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus cooki,Cook's Swift,cooswi1,species,4108.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus pacificus/cooki,Pacific/Cook's Swift,y00959,slash,4109.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus pacificus/salimalii/leuconyx/cooki,fork-tailed swift sp.,fotswi1,spuh,4110.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus acuticauda,Dark-rumped Swift,darswi1,species,4111.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus affinis,Little Swift,litswi1,species,4112.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus affinis [affinis Group],Little Swift (Little),litswi2,issf,4113.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus affinis bannermani,Little Swift (Bannerman's),litswi3,issf,4118.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus affinis singalensis,Little Swift (Indian),litswi4,issf,4119.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus nipalensis,House Swift,houswi1,species,4120.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus affinis/nipalensis,Little/House Swift,y00960,slash,4125.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus horus,Horus Swift,horswi1,species,4126.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus horus (White-rumped),Horus Swift (White-rumped),horswi2,form,4127.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus horus (Brown-rumped),Horus Swift (Brown-rumped),horswi3,form,4128.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus caffer,White-rumped Swift,whrswi1,species,4129.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus affinis x caffer,Little x White-rumped Swift (hybrid),x01060,hybrid,4130.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus batesi,Bates's Swift,batswi1,species,4131.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus sp.,Apus sp.,apus2,spuh,4132.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apus/Tachymarptis sp.,Apus/Tachymarptis sp.,apus1,spuh,4133.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aeronautes saxatalis,White-throated Swift,whtswi,species,4134.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aeronautes montivagus,White-tipped Swift,whtswi1,species,4137.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aeronautes andecolus,Andean Swift,andswi1,species,4140.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Aeronautes montivagus/andecolus,White-tipped/Andean Swift,y00669,slash,4144.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Panyptila cayennensis,Lesser Swallow-tailed Swift,lstswi1,species,4145.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Panyptila sanctihieronymi,Great Swallow-tailed Swift,gstswi1,species,4148.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Cypsiurus balasiensis,Asian Palm Swift,aspswi1,species,4149.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Cypsiurus parvus,African Palm Swift,afpswi1,species,4154.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Cypsiurus gracilis,Malagasy Palm Swift,malpas1,species,4161.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Cypsiurus gracilis griveaudi,Malagasy Palm Swift (Comoro),afrpas2,issf,4162.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Cypsiurus gracilis gracilis,Malagasy Palm Swift (Madagascar),afrpas3,issf,4163.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Tachornis phoenicobia,Antillean Palm Swift,anpswi,species,4164.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Tachornis furcata,Pygmy Palm Swift,pygswi1,species,4167.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Tachornis squamata,Fork-tailed Palm Swift,ftpswi1,species,4170.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apodidae sp. (large swift sp.),large swift sp.,larswi1,spuh,4173.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apodidae sp. (small swift sp.),small swift sp.,smaswi1,spuh,4174.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Apodidae sp.,swift sp.,swift1,spuh,4175.0,Caprimulgiformes,Swifts,Apodidae,apodid1
Hemiprocne coronata,Crested Treeswift,cretre1,species,4177.0,Caprimulgiformes,Treeswifts,Hemiprocnidae,hemipr1
Hemiprocne longipennis,Gray-rumped Treeswift,gyrtre1,species,4178.0,Caprimulgiformes,Treeswifts,Hemiprocnidae,hemipr1
Hemiprocne comata,Whiskered Treeswift,whitre1,species,4183.0,Caprimulgiformes,Treeswifts,Hemiprocnidae,hemipr1
Hemiprocne mystacea,Moustached Treeswift,moutre1,species,4186.0,Caprimulgiformes,Treeswifts,Hemiprocnidae,hemipr1
Hemiprocne sp.,treeswift sp.,treesw1,spuh,4193.0,Caprimulgiformes,Treeswifts,Hemiprocnidae,hemipr1
Topaza pella,Crimson Topaz,critop1,species,4195.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Topaza pyra,Fiery Topaz,fietop1,species,4199.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Topaza pella/pyra,Crimson/Fiery Topaz,y00861,slash,4202.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Florisuga mellivora,White-necked Jacobin,whnjac1,species,4203.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Florisuga fusca,Black Jacobin,blkjac1,species,4206.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Eutoxeres aquila,White-tipped Sicklebill,whtsic1,species,4207.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Eutoxeres condamini,Buff-tailed Sicklebill,butsic1,species,4211.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Ramphodon naevius,Saw-billed Hermit,sabher1,species,4214.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Glaucis dohrnii,Hook-billed Hermit,hobher2,species,4215.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Glaucis aeneus,Bronzy Hermit,broher,species,4216.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Glaucis hirsutus,Rufous-breasted Hermit,rubher,species,4217.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Threnetes ruckeri,Band-tailed Barbthroat,batbar1,species,4220.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Threnetes leucurus,Pale-tailed Barbthroat,patbar1,species,4224.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Threnetes niger,Sooty Barbthroat,soobar1,species,4229.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Anopetia gounellei,Broad-tipped Hermit,brther2,species,4232.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis hispidus,White-bearded Hermit,whbher1,species,4233.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis yaruqui,White-whiskered Hermit,whwher1,species,4234.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis guy,Green Hermit,greher1,species,4235.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis syrmatophorus,Tawny-bellied Hermit,tabher1,species,4240.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis koepckeae,Koepcke's Hermit,koeher1,species,4243.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis philippii,Needle-billed Hermit,nebher1,species,4244.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis bourcieri,Straight-billed Hermit,stbher1,species,4245.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis bourcieri bourcieri,Straight-billed Hermit (bourcieri),stbher2,issf,4246.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis bourcieri major,Straight-billed Hermit (major),stbher3,issf,4247.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis longirostris,Long-billed Hermit,lobher,species,4248.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis longirostris [longirostris Group],Long-billed Hermit (Central American),lobher1,issf,4249.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis longirostris baroni,Long-billed Hermit (Baron's),lobher3,issf,4253.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis mexicanus,Mexican Hermit,mexher1,species,4254.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis mexicanus griseoventer,Mexican Hermit (Jalisco),lobher4,issf,4255.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis mexicanus mexicanus,Mexican Hermit (Mexican),lobher2,issf,4256.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis superciliosus,Long-tailed Hermit,lother1,species,4257.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis longirostris/superciliosus,Long-billed/Long-tailed Hermit,y00596,slash,4260.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis malaris,Great-billed Hermit,grbher1,species,4261.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis malaris malaris/insolitus,Great-billed Hermit (Great-billed),grbher6,issf,4262.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis malaris [moorei Group],Great-billed Hermit (Amazonian),grbher5,issf,4265.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis malaris margarettae,Great-billed Hermit (Margaretta's),grbher4,issf,4269.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis anthophilus,Pale-bellied Hermit,pabher1,species,4270.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis squalidus,Dusky-throated Hermit,duther1,species,4273.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis maranhaoensis [unrecognized species],Maranhao Hermit (unrecognized species),marher1,form,4274.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis rupurumii,Streak-throated Hermit,stther1,species,4275.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis longuemareus,Little Hermit,lither2,species,4278.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis aethopygus,Tapajos Hermit,lither3,species,4279.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis idaliae,Minute Hermit,minher1,species,4280.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis nattereri,Cinnamon-throated Hermit,cither1,species,4281.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis atrimentalis,Black-throated Hermit,bkther1,species,4282.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis striigularis,Stripe-throated Hermit,stther2,species,4285.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis griseogularis,Gray-chinned Hermit,gycher1,species,4290.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis griseogularis porcullae,Gray-chinned Hermit (Porculla),gycher3,issf,4291.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis griseogularis griseogularis/zonura,Gray-chinned Hermit (Gray-chinned),gycher2,issf,4292.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis ruber,Reddish Hermit,redher1,species,4295.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis stuarti,White-browed Hermit,whbher3,species,4300.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis ruber/stuarti,Reddish/White-browed Hermit,y00693,slash,4301.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis subochraceus,Buff-bellied Hermit,bubher1,species,4302.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis augusti,Sooty-capped Hermit,socher1,species,4303.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis pretrei,Planalto Hermit,plaher1,species,4307.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis eurynome,Scale-throated Hermit,scther1,species,4308.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Phaethornis sp.,hermit sp.,hermit1,spuh,4311.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Doryfera ludovicae,Green-fronted Lancebill,grflan1,species,4312.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Doryfera johannae,Blue-fronted Lancebill,blflan1,species,4315.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Schistes albogularis,White-throated Daggerbill,webhum3,species,4318.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Schistes geoffroyi,Geoffroy's Daggerbill,webhum1,species,4319.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Schistes albogularis/geoffroyi,White-throated/Geoffroy's Daggerbill,webhum2,slash,4322.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Augastes scutatus,Hyacinth Visorbearer,hyavis1,species,4323.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Augastes lumachella,Hooded Visorbearer,hoovis2,species,4327.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Colibri serrirostris,White-vented Violetear,wvvear1,species,4328.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Colibri coruscans,Sparkling Violetear,spvear1,species,4329.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Colibri delphinae,Brown Violetear,brvear1,species,4332.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Colibri thalassinus,Mexican Violetear,grnvie1,species,4333.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Colibri cyanotus,Lesser Violetear,lesvio1,species,4334.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Colibri cyanotus cabanidis,Lesser Violetear (Costa Rican),grnvie2,issf,4335.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Colibri cyanotus cyanotus/crissalis,Lesser Violetear (Andean),grnvio1,issf,4336.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Colibri coruscans/cyanotus,Sparkling/Lesser Violetear,y00862,slash,4339.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Colibri sp.,violetear sp.,violet1,spuh,4340.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Heliactin bilophus,Horned Sungem,horsun2,species,4341.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Androdon aequatorialis,Tooth-billed Hummingbird,tobhum1,species,4342.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Heliothryx barroti,Purple-crowned Fairy,pucfai1,species,4343.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Heliothryx auritus,Black-eared Fairy,bkefai1,species,4344.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Polytmus guainumbi,White-tailed Goldenthroat,whtgol1,species,4348.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Polytmus milleri,Tepui Goldenthroat,tepgol1,species,4352.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Polytmus theresiae,Green-tailed Goldenthroat,grtgol1,species,4353.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Avocettula recurvirostris,Fiery-tailed Awlbill,fitawl1,species,4356.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Chrysolampis mosquitus,Ruby-topaz Hummingbird,ruthum1,species,4357.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Anthracothorax mango,Jamaican Mango,jamman1,species,4358.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Anthracothorax nigricollis,Black-throated Mango,bltman1,species,4359.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Anthracothorax nigricollis nigricollis,Black-throated Mango (Black-throated),bktman1,issf,4360.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Anthracothorax nigricollis iridescens,Black-throated Mango (Ecuadorian),gnbman2,issf,4361.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Anthracothorax viridigula,Green-throated Mango,grtman1,species,4362.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Anthracothorax prevostii,Green-breasted Mango,gnbman,species,4363.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Anthracothorax veraguensis,Veraguan Mango,verman1,species,4368.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Anthracothorax dominicus,Hispaniolan Mango,antman2,species,4369.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Anthracothorax aurulentus,Puerto Rican Mango,antman3,species,4370.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Anthracothorax viridis,Green Mango,greman1,species,4371.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Anthracothorax sp.,mango sp.,mango1,spuh,4372.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Eulampis jugularis,Purple-throated Carib,putcar1,species,4373.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Eulampis holosericeus,Green-throated Carib,grtcar1,species,4374.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Eulampis jugularis/holosericeus,Purple-throated/Green-throated Carib,y01200,slash,4377.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Heliangelus mavors,Orange-throated Sunangel,ortsun1,species,4378.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Heliangelus clarisse,Longuemare's Sunangel,amtsun2,species,4379.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Heliangelus spencei,Merida Sunangel,amtsun4,species,4382.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Heliangelus amethysticollis,Amethyst-throated Sunangel,amtsun3,species,4383.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
Heliangelus strophianus,Gorgeted Sunangel,gorsun1,species,4388.0,Caprimulgiformes,Hummingbirds,Trochilidae,trochi1
