REGION,COMUNA,NUMERO INCENDIOS ,PINO INSIGNE    0- 10 AÑOS,PINO INSIGNE    11- 17 AÑOS,PINO INSIGNE      18 O MAS,TOTAL PINO INSIGNE,EUCALIPTO,OTRAS SP.,TOTAL,ARBOLADO,MATORRAL,PASTIZAL,TOTAL.1,TOTAL  FORESTAL ,AGRICOLA,DESECHOS,TOTAL OTRAS SUPERFICIES,TOTAL SUPERFICIE AFECTADA
RM,TILTIL,5.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,2.0,29.4,66.5,97.9,98.30,0.00,0.00,0.00,98.30
RM,PUENTEALTO,4.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.05,0.55,1.4,2.0,2.30,0.00,0.00,0.00,2.30
RM,PIRQUE,15.0,0.0,0.0,0.0,0.0,1.1,0.0,1.1,17.64,27.06,22.66,67.36,68.46,0.00,0.00,0.00,68.46
RM,SANJOSEDEMAIPO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RM,SANBERNARDO,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,40.0,61.7,61.70,0.00,0.10,0.10,61.80
RM,BUIN,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,3.3,3.8,4.30,0.00,0.00,0.00,4.30
RM,PAINE,9.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.7,0.98,6.47,8.15,11.15,0.00,0.00,0.00,11.15
RM,CALERADETANGO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.10,0.00,0.00,0.00,0.10
RM,TALAGANTE,7.0,0.0,0.0,0.0,0.0,1.2,0.0,1.2,3.1,7.4,15.1,25.6,26.80,0.00,0.00,0.00,26.80
RM,PENAFLOR,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,6.5,8.3,8.30,0.00,0.00,0.00,8.30
